p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
HBG2	0	3.36251567865524	0.858	0.011	0	Erythrocytes	HBG2
HBG1	0	3.32200198627603	0.929	0.018	0	Erythrocytes	HBG1
HBD	2.10765086032219e-18	1.09695394125697	0.413	0.157	4.97321297001624e-14	Erythrocytes	HBD
HBB	1.46531116341966e-16	1.11529176652076	0.548	0.274	3.45754822120504e-12	Erythrocytes	HBB
SENP7	1.96634178061126e-08	0.632702902131072	0.432	0.247	0.000463978006553032	Erythrocytes	SENP7
MPPED1	8.47924078142903e-08	0.430695487784909	0.787	0.679	0.00200076165478599	Erythrocytes	MPPED1
AC122688.3	2.13063142371686e-07	0.473066775566779	0.645	0.484	0.00502743790740229	Erythrocytes	AC122688.3
ALPI	1.85297094124e-06	0.264947985283168	0.929	0.878	0.0437227023294991	Erythrocytes	ALPI
LINC01681	2.14300856336727e-06	0.301718234532227	0.865	0.806	0.050566430061214	Erythrocytes	LINC01681
SERAC1	2.6942767150135e-05	0.323613968184422	0.806	0.728	0.635741533674586	Erythrocytes	SERAC1
RBM22P6	8.95254422169671e-05	0.426534568728047	0.394	0.265	1	Erythrocytes	RBM22P6
NLRX1	0.00016797426088028	0.296632708061153	0.613	0.494	1	Erythrocytes	NLRX1
Z82217.1	0.000333208454727726	0.272667736137412	0.303	0.18	1	Erythrocytes	Z82217.1
LYRM4-AS1	0.000426670972380253	0.266249055602543	0.561	0.45	1	Erythrocytes	LYRM4-AS1
PDP2	0.000529207703670405	0.257163662453113	0.6	0.491	1	Erythrocytes	PDP2
ZPR1	0.000603770027022934	0.373917892851457	0.31	0.199	1	Erythrocytes	ZPR1
AC087564.1	0.00144545102618674	0.293028813114563	0.465	0.352	1	Erythrocytes	AC087564.1
RPS28	0.00332384201375452	0.346371939837729	0.355	0.252	1	Erythrocytes	RPS28
MTRNR2L8	5.10478130967159e-06	0.301465862070444	0.885	0.781	0.120452419783011	Unassigned	MTRNR2L8
MTRNR2L12	5.90000516520642e-06	0.25874746457297	0.926	0.871	0.139216521878211	Unassigned	MTRNR2L12
RPL15P5	0.00535592666718817	0.549618254631553	0.301	0.206	1	Unassigned	RPL15P5
RPS3AP51	0.00540964534135242	0.344546987278668	0.332	0.226	1	Unassigned	RPS3AP51
AL161787.1	0.0067057160678934	0.302846203910619	0.547	0.445	1	Unassigned	AL161787.1
RPS29P5	0.00700423667156971	0.310486102612625	0.453	0.335	1	Unassigned	RPS29P5
