p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
HBB	2.98077669012982e-104	1.39531760765387	0.741	0.352	5.73054318677457e-100	Erythrocytes	HBB
HBD	3.68130749899512e-98	1.54618566001897	0.364	0.067	7.07731366681812e-94	Erythrocytes	HBD
HBA2	3.12598914325179e-86	1.30205858218628	0.477	0.145	6.00971412790156e-82	Erythrocytes	HBA2
HBA1	3.58413041897915e-81	1.40675384591787	0.354	0.079	6.89049073048742e-77	Erythrocytes	HBA1
YBX1	9.9595194466214e-10	0.312062946828562	0.444	0.302	1.91471761361296e-05	Unassigned	YBX1
YBX1P1	7.92557436185753e-07	0.327875648669292	0.27	0.173	0.0152369167106711	Unassigned	YBX1P1
