Celltype	Cell count	Cell Percentage
Monocytes	76	0.0170
Malignant cells	1515	0.3395
Plasma cells	196	0.0439
CD8+ effector T cells	465	0.1042
CD8+ Tcm	156	0.0350
Endothelial cells	49	0.0110
Dendritic cells	23	0.0052
CD4+ effector T cells	9	0.0020
CD4+ naive T cells	7	0.0016
CD8+ naive T cells	92	0.0206
Memory B cells	112	0.0251
Macrophages	256	0.0574
CD4+ Tem	511	0.1145
CD8+ Tem	55	0.0123
CD4+ Tcm	368	0.0825
NK cells	164	0.0367
Unassigned	89	0.0199
Naive B cells	108	0.0242
Activated B cells	28	0.0063
Mast cells	81	0.0181
Fibroblasts	101	0.0226
Tregs	2	0.0004
