Celltype	Cell count	Cell Percentage
Monocytes	293	0.0752
Plasma cells	39	0.0100
Malignant cells	465	0.1193
CD8+ effector T cells	172	0.0441
CD8+ Tcm	203	0.0521
Endothelial cells	519	0.1331
Dendritic cells	58	0.0149
CD4+ effector T cells	12	0.0031
CD4+ naive T cells	6	0.0015
CD8+ naive T cells	147	0.0377
Memory B cells	13	0.0033
Macrophages	532	0.1365
CD4+ Tem	556	0.1426
CD8+ Tem	32	0.0082
CD4+ Tcm	181	0.0464
Unassigned	258	0.0662
NK cells	306	0.0785
Naive B cells	51	0.0131
Activated B cells	16	0.0041
Mast cells	37	0.0095
Tregs	2	0.0005
