Celltype	Cell count	Cell Percentage
Monocytes	808	0.0985
Malignant cells	203	0.0248
Plasma cells	376	0.0458
CD8+ effector T cells	768	0.0936
CD8+ Tcm	161	0.0196
Endothelial cells	1607	0.1959
Dendritic cells	93	0.0113
Neurons	75	0.0091
CD4+ effector T cells	93	0.0113
CD4+ naive T cells	9	0.0011
CD8+ naive T cells	175	0.0213
Memory B cells	24	0.0029
Macrophages	549	0.0669
CD4+ Tem	240	0.0293
CD8+ Tem	147	0.0179
CD4+ Tcm	266	0.0324
Unassigned	330	0.0402
NK cells	350	0.0427
Naive B cells	76	0.0093
Activated B cells	28	0.0034
Fibroblasts	1811	0.2208
Tregs	13	0.0016
